"Executed Date","BOROUGH","count"
"04/26/2018","BRONX","39"
"10/18/2017","STATEN ISLAND","3"
"03/06/2024","QUEENS","18"
"08/04/2021","BROOKLYN","1"
"07/31/2018","STATEN ISLAND","2"
"10/28/2024","BROOKLYN","11"
"03/29/2017","BRONX","29"
"03/21/2018","BRONX","14"
"01/06/2022","MANHATTAN","2"
"03/24/2025","QUEENS","10"
"12/20/2022","BROOKLYN","5"
"11/13/2024","BRONX","17"
"05/04/2022","QUEENS","5"
"02/11/2019","STATEN ISLAND","3"
"03/20/2018","STATEN ISLAND","2"
"07/06/2021","BROOKLYN","2"
"08/22/2024","QUEENS","3"
"06/13/2018","STATEN ISLAND","2"
"04/22/2019","BRONX","14"
"08/23/2018","BROOKLYN","23"
"04/11/2022","QUEENS","5"
"10/15/2024","BROOKLYN","10"
"10/01/2024","BROOKLYN","7"
"12/23/2021","MANHATTAN","6"
"12/11/2017","BROOKLYN","31"
"04/06/2023","QUEENS","5"
"07/16/2024","BRONX","35"
"12/06/2023","BRONX","4"
"08/29/2019","BROOKLYN","6"
"12/26/2024","MANHATTAN","7"
"07/17/2024","QUEENS","20"
"02/13/2019","QUEENS","22"
"01/31/2025","BRONX","17"
"07/28/2022","STATEN ISLAND","1"
"05/19/2022","QUEENS","7"
"07/27/2017","BRONX","34"
"04/13/2023","BRONX","11"
"07/05/2024","MANHATTAN","2"
"07/08/2021","BROOKLYN","3"
"09/29/2023","STATEN ISLAND","1"
"01/31/2017","BRONX","30"
"03/16/2017","BROOKLYN","47"
"06/20/2025","BROOKLYN","19"
"11/07/2018","BRONX","27"
"10/23/2024","MANHATTAN","7"
"01/28/2025","BRONX","36"
"07/16/2019","BROOKLYN","7"
"10/06/2022","BROOKLYN","12"
"07/19/2018","BROOKLYN","16"
"09/16/2025","STATEN ISLAND","4"
"01/17/2020","QUEENS","10"
"04/17/2023","MANHATTAN","1"
"05/02/2024","BRONX","12"
"04/02/2025","MANHATTAN","15"
"02/14/2025","BROOKLYN","25"
"04/21/2022","BROOKLYN","2"
"07/06/2023","STATEN ISLAND","6"
"07/16/2025","QUEENS","29"
"04/30/2025","STATEN ISLAND","2"
"07/03/2017","QUEENS","9"
