"CMPLNT_FR_DT","BORO_NM","count"
"09/15/2011","BROOKLYN","422"
"12/11/2018","STATEN ISLAND","56"
"03/26/2018","STATEN ISLAND","65"
"07/24/2024","QUEENS","368"
"12/01/2011","BRONX","359"
"12/04/2004","MANHATTAN","1"
"10/19/2018","STATEN ISLAND","59"
"08/03/2007","QUEENS","346"
"12/21/2007","MANHATTAN","440"
"12/11/2007","MANHATTAN","357"
"12/05/2013","BRONX","300"
"09/21/2001","MANHATTAN","1"
"07/01/2009","MANHATTAN","390"
"06/02/2012","BROOKLYN","436"
"03/17/2014","STATEN ISLAND","65"
"11/15/2012","QUEENS","264"
"07/25/2007","BROOKLYN","484"
"12/18/2014","QUEENS","257"
"08/17/2016","BRONX","300"
"12/31/2017","BRONX","191"
"07/21/2005","QUEENS","3"
"04/18/2009","BRONX","295"
"09/17/2016","STATEN ISLAND","58"
"09/13/2017","BROOKLYN","404"
"03/10/2021","STATEN ISLAND","58"
"10/13/2007","MANHATTAN","383"
"03/30/2004","BRONX","2"
"04/28/2022","BROOKLYN","410"
"05/06/2006","MANHATTAN","346"
"07/26/2015","BRONX","347"
"06/06/2010","QUEENS","255"
"12/01/2019","QUEENS","272"
"05/16/2018","BRONX","262"
"10/09/2006","BROOKLYN","425"
"03/24/2011","BRONX","311"
"04/12/2005","BROOKLYN","2"
"03/04/2022","BROOKLYN","417"
"10/01/2003","MANHATTAN","8"
"02/18/2019","QUEENS","203"
"11/20/2017","BROOKLYN","425"
"12/03/2003","QUEENS","1"
"02/25/2007","BRONX","233"
"03/27/2006","BROOKLYN","421"
"06/12/2023","BRONX","340"
"07/23/2010","BRONX","325"
"03/09/2011","MANHATTAN","304"
"04/16/2016","QUEENS","262"
"07/03/2006","QUEENS","274"
"05/13/2023","QUEENS","354"
"05/25/2018","MANHATTAN","383"
"07/22/2010","BROOKLYN","452"
"01/10/2013","BRONX","304"
"05/07/2017","STATEN ISLAND","65"
"09/13/2011","QUEENS","270"
"05/09/2021","BROOKLYN","267"
"01/08/2017","BRONX","237"
"05/22/2019","STATEN ISLAND","66"
"05/30/2011","BRONX","244"
"07/11/2014","QUEENS","265"
"10/23/2011","BROOKLYN","353"
"04/01/2010","QUEENS","343"
"09/12/2010","QUEENS","256"
"05/18/2010","QUEENS","246"
"08/15/2006","BRONX","311"
"07/31/2020","STATEN ISLAND","51"
"05/14/2023","BRONX","302"
"04/10/2007","QUEENS","273"
"06/06/2024","BRONX","321"
"08/02/2012","BROOKLYN","496"
"06/05/2017","STATEN ISLAND","46"
"03/23/2021","BRONX","253"
"09/14/2011","BRONX","317"
"09/26/2022","QUEENS","305"
"10/17/2000","BRONX","1"
"07/15/2007","MANHATTAN","302"
"05/11/2017","BROOKLYN","396"
"03/11/2018","QUEENS","233"
"07/19/2006","BRONX","331"
"02/28/2009","BRONX","302"
"07/16/2014","STATEN ISLAND","68"
"09/04/2005","QUEENS","2"
"08/25/2008","(null)","1"
"07/22/2009","BROOKLYN","440"
"01/10/2007","BROOKLYN","441"
"11/26/2009","BROOKLYN","246"
"08/20/2018","STATEN ISLAND","66"
"09/12/2007","(null)","2"
"03/30/2010","MANHATTAN","255"
"01/25/2010","QUEENS","250"
"06/01/2024","(null)","4"
"11/16/2007","QUEENS","293"
"10/07/2009","BRONX","329"
"02/25/2019","MANHATTAN","251"
"10/11/2017","MANHATTAN","373"
"04/20/2022","BROOKLYN","357"
"09/28/2008","(null)","1"
"10/28/2022","MANHATTAN","403"
"11/02/2008","(null)","88"
"11/13/2020","MANHATTAN","268"
"08/17/2020","MANHATTAN","293"
"06/06/2012","STATEN ISLAND","74"
"05/29/2020","BROOKLYN","438"
"05/02/2024","QUEENS","390"
"10/01/2005","STATEN ISLAND","23"
"07/13/2014","BRONX","296"
"10/30/1999","BROOKLYN","1"
"01/17/2012","MANHATTAN","300"
"06/25/2017","STATEN ISLAND","47"
"04/01/1999","QUEENS","1"
"12/17/2014","BROOKLYN","430"
"08/26/2024","STATEN ISLAND","48"
"02/03/2013","QUEENS","210"
"10/03/2005","MANHATTAN","7"
"07/28/2024","MANHATTAN","355"
"12/31/2008","QUEENS","231"
"01/01/2015","QUEENS","418"
"01/05/2017","BRONX","254"
"08/10/2023","BROOKLYN","435"
"03/24/2022","(null)","1"
"03/07/2014","MANHATTAN","374"
"04/11/1997","MANHATTAN","1"
"07/22/2006","MANHATTAN","349"
"02/06/2010","QUEENS","225"
"08/11/2016","BRONX","268"
"10/07/2020","QUEENS","289"
"06/02/2011","MANHATTAN","338"
"12/16/2000","MANHATTAN","1"
"07/24/2007","BRONX","363"
"08/30/2005","BROOKLYN","6"
"12/01/2000","MANHATTAN","4"
"03/10/2001","BROOKLYN","2"
"01/08/2006","MANHATTAN","306"
"07/12/2001","MANHATTAN","3"
"07/27/2023","BRONX","339"
"01/16/2010","BROOKLYN","433"
